username,tweet
Simonppoynton,"RT @CHIZMAGA: Not all is bad as a result of the Coronavirus Outbreak, Liberals are now finally washing their hands and taking showers."
Mom2CrazyBoys,"@MattMackowiak Oh, this is going to be a great example for an intro stats class 😜.  Chance of lightening strike 1 i… https://t.co/RpJc1LiwIj"
albinv10,RT @elonmusk: The coronavirus panic is dumb
savkaay,RT @96fj_: Ngl coronavirus is overdoing it now
TomTurlington1,RT @MonicaRix: Costco is pulling free samples from stores over coronavirus fears. What’s the point of Costco anymore!?
allThisKake,QT But the sad thing is ytppl kids always did this shit way b4 the outbreak 😂
Tianna_Be,Sharing because I find actual statistics more comforting than fear-mongering media sources....… https://t.co/Y8C2vMr1wH
Bookolic77,RT @julialindau: I just landed at JFK after reporting on #coronavirus in Milan and Lombardy —the epicenter of Italy’s  outbreak— for @vicen…
akaAnneBentley,RT @JasonBermas: SHOCKING!!! The First USA Coronavirus Victims Family Members Speak Out! #BermasBrigade #NYSBailReform #NYPD https://t.co/N…
lapr23,RT @elonmusk: The coronavirus panic is dumb
IAmNickDodson,"QT RT @leashless: 100K confirmed, maybe 4x unconfirmed. In one month, 20x. In two months, 400x. In three months 800x, unless we radically chan…"
Yair_Rosenberg,QT Quite a striking image: Yeshiva University is playing in the NCAA tournament before an empty stadium due to coronav… https://t.co/HeWkUwG3BG
moni_richard,RT @elonmusk: The coronavirus panic is dumb
maja_li,"RT @gabrielmalor: Here's a really interesting article about the CDC's first botched COVID-19 tests, which ultimately led them to suspend th…"
francesco_z1,RT @elonmusk: The coronavirus panic is dumb
rentacreciente,RT @elonmusk: The coronavirus panic is dumb
ShowMeVegas_MO,"Less than a week to go!  No #coronavirus gonna hold us down, oh no, we got to keep on movin’.

#vegas… https://t.co/ecXRURY2as"
WilfredBLS,RT @OnePerfectShot: Everyone has a right to want to see themselves kick ass in the movies. https://t.co/ELJysO7ZiH
Mario_Amaroo,RT @elonmusk: The coronavirus panic is dumb
_libby3112_,RT @elonmusk: The coronavirus panic is dumb
stevenbakescake,RT @elonmusk: The coronavirus panic is dumb
blathering,RT @AynW: Coronavirus isn't going to be bad. It's never the storms/illnesses/whatever that we see coming that get us.
S_Padival,RT @elonmusk: The coronavirus panic is dumb
BryceMorrow1,RT @elonmusk: The coronavirus panic is dumb
AlejoZamayoaO,RT @elonmusk: The coronavirus panic is dumb
McneJames,QT RT @gojoe_joe: He cant hide Dead People. 😡 https://t.co/GAPRMFVrlr
TheIronistIX,QT RT @TMN3218: Of all people.. I’d expect you to have some gloves.
drbobgill,"RT @davidschneider: People dying in A&amp;E corridors 
17000 beds cut 
106,000 staff short
43000 nurses short
11000 doctors short
EU doctors, n…"
Hodlmate_,RT @elonmusk: The coronavirus panic is dumb
ziggyz2020,"""Airlines, travel and cruise industries hurt by coronavirus could get tax relief from the White House."" My question… https://t.co/8a8mMki2FJ"
MiguelICarlos,"RT @JWilliamsFstmed: I think this crowd sourced Coronavirus tracker is pretty cool.  

Check it out - Sneeze Map: Spread the word, save a l…"
BusinessDayNg,FG releases N984m to tackle Coronavirus https://t.co/kTiucgVDlS https://t.co/9vjcFXjqkG
rorobin1,"RT @RealJamesWoods: Besides “social distancing” another practice that will stop the spread of Coronavirus is “not touching your eyes, nose,…"
alanhinton11,"QT Trump, Pentz and the very many local and national doctors to my mind are doing a superb job trying to control this… https://t.co/V8okpMD4zQ"
jingalin_kush,QT Till you get exposed to the more aggressive strand then will u keep ur mouth shut for ever....
PostMark,@RoguePOTUSStaff World Health Organization: Coronaviruses (CoV) are a large family of viruses that cause illness ra… https://t.co/yPuT6Kv6BP
SamFieldson2,"QT RT @Stretchy99: “That’s the coffin there as you can see”

https://t.co/fhHr2ktymh https://t.co/Sf3ajQn6vY"
Andr3sote,RT @elonmusk: The coronavirus panic is dumb
1KDINK,RT @DiscussingFilm: Disney is reportedly adamant that they will not push back the worldwide May release date for ‘BLACK WIDOW’ due to coron…
retrohippie861,"Unfortunately, they’re still running late  https://t.co/r9PRgf3uAF"
contreras_45,RT @smithkyliee: questions asked in the office : can you get coronavirus from eating ass ?
RafCanadianGuy,RT @elonmusk: The coronavirus panic is dumb
DrTrkulja,"RT @NorbertElekes: NEW: Iran reports 1,234 new cases of coronavirus today and 17 new deaths.

A total of 4,747 cases and 124 deaths."
deuceohsixx,"QT RT @NaveedAJamali: My wife, the Harvard trained scientist who is currently a critical employee and is going into work in #seattle, while ev…"
insptwelve,RT @elonmusk: The coronavirus panic is dumb
BadeenRod,"RT @mahya_saber: Devastating update from #iran on #coronavirus
According to state-run media, presently in Kerman, a health mask that used t…"
castanedampja,QT Can you elaborate on that statement as you may know something the general public does not. Is it a panic yet?… https://t.co/QbFrLK9HfQ
alexotten72,QT RT @_Emmxtt: I'm gonna have to go on TotalSportek for my nans funeral ffs
passiimagkekse,RT @elonmusk: The coronavirus panic is dumb
johnnymauler,RT @News12NJ: Developing news out of a #Camden County #Coronavirus https://t.co/Eod8xwpcbl
BeholdIsrael,"Senior Iranian Official Hossein Sheikholeslam – Advisor To Majlis Speaker, Former Advisor To Foreign Minister, And… https://t.co/9amhRLcj97"
DavidC508,RT @elonmusk: The coronavirus panic is dumb
Amanduex,"QT RT @Mikel_Jollett: The Trump administration is using the ""essential health benefit"" provision of the ACA to fund coronavirus testing, at th…"
ZakiraAyed,"RT @zakareeee: coronavirus crossing the border to south africa:

https://t.co/t1dzLQZYaZ"
kevcar1008,QT RT @tribelaw: What a total jerk
methobruh,RT @TopShotMilX2: How im showing up at the next MAGA rally if I catch this coronavirus https://t.co/u6rAJSmB6R
Habooo_K,"QT RT @PhinduuuM: a little late now, don’t you think?"
sherrycnm,QT RT @JoeNBC: Kellyanne Conway and Larry Kudlow say Coronavirus is “contained” at 200 cases. This is the kind of talk that causes great uneas…
JustCallMeTom,"QT When Trump tried to talk numbers, I shake my head ... Here's some updated reported numbers Oh and the USA is in the… https://t.co/RSUcSpUPgw"
Brendaliliet,RT @elonmusk: The coronavirus panic is dumb
thekalebmccague,RT @elonmusk: The coronavirus panic is dumb
iv_technicals,QT and so it begins...
ZaackHunt,QT Tweets like this are even dumber.
BlumpCon,"RT @FPVaughanIII: IMPORTANT: FPV #146 – Coronavirus Update Full Of Key Information 03/06/2020

I think the content in this one stands out i…"
KevinLanphier,RT @elonmusk: The coronavirus panic is dumb
AngwAngila,"RT @joeheenan: Someone on the radio said Britain will remain calm about the Coronavirus.
People phoned the police when KFC ran out of chick…"
biztravelguide,QT RT @JoeNBC: Kellyanne Conway and Larry Kudlow say Coronavirus is “contained” at 200 cases. This is the kind of talk that causes great uneas…
AnimeAssLover,QT RT @RealOldPaul: (nervous man who needs tesla stock to keep going up) https://t.co/FigL5MgVOE
its_savvzhd,RT @elonmusk: The coronavirus panic is dumb
xgoogleplex2,QT RT @mayawiley: I am about to lose all composure.
keepEvolving90,RT @GavinNewsom: BREAKING: we have ordered health insurance companies to waive ALL out-of-pocket costs for preventive coronavirus testing.…
geraflordz,RT @elonmusk: The coronavirus panic is dumb
cheekydave27,"RT @joeheenan: Someone on the radio said Britain will remain calm about the Coronavirus.
People phoned the police when KFC ran out of chick…"
tmbrown327,"RT @greenhousenyt: Let no one forget that Trump said this last week &gt;&gt; ""We have a total of 15 [coronavirus cases]...The 15 within a couple…"
wildlifer22,"QT RT @ezraklein: This is horrifying and tragic. Imagine how scary it is to be in that crowd, or to be a 75-year-old in that city."
AmericanHawkTPJ,QT RT @lookner: 3 more passengers from the Grand Princess cruise in February have coronavirus
NearyColeen,RT @TheDailyEdge: “I am currently sick in quarantine after caring for a patient who test positive... awaiting permission from the federal g…
_ashley_soriano,"RT @miblogestublog: Italy, Iran, China: Schools across the country closed for Coronavirus.

Mexico: 🇲🇽 
https://t.co/Bp7wYOhZxd"
_tammytams_,QT RT @__madixon: ya’ll want to watch a disney movie that represents indigenous culture ACCURATELY and doesn’t misinform you or disrespect rea…
YR22132120,"@FLOTUS @WhiteHouse Really?  In the middle of the coronavirus pandemic, when so many people are sick or dying, this is what is on your mind?"
funwithleigh,"I keep wanting to make coronavirus jokes but I can't find a tone that works, maybe just too soon"
theLword2016,"""As Coronavirus Spreads, Medicare Gets Telemedicine Option"" by The Associated Press via NYT https://t.co/LNfv9rab6t #disabilityinthenews"
kevin92_ace,RT @elonmusk: The coronavirus panic is dumb
JJGBruce,"RT @haveigotnews: As coronavirus rapidly approaches pandemic status, UK says thank goodness the NHS is getting that £350 million a week or…"
Cassieniccole,Chaos at hospitals due to shortage of coronavirus tests https://t.co/KYMI19c47t
alevictoria98,RT @elonmusk: The coronavirus panic is dumb
ElTocororo,"RT @HKrassenstein: BREAKING: Trump is reportedly considering tax relief for the travel industry (hotels, airlines, cruise lines) to help th…"
MightyKreskin,"by a show of hands, who is STILL naive enough to think the US response to the #coronavirus #pandemic is anything bu… https://t.co/RaU5Igws1N"
fiacotis,RT @elonmusk: The coronavirus panic is dumb
SrWolfenstein,RT @elonmusk: The coronavirus panic is dumb
salvadorxgarcia,RT @elonmusk: The coronavirus panic is dumb
AhmedBesho07,RT @elonmusk: The coronavirus panic is dumb
pauladi19270455,"QT RT @DrDenaGrayson: The #coronavirus has been spreading undetected in our communities FOR WEEKS, due to the failure of @realDonaldTrump and…"
OgTriple_Threat,"RT @RexChapman: Pretty sure this isn’t appropriate Coronavirus behavior. Watch your kids, folks... https://t.co/QwwDFMZrw0"
DaCount6,"QT Look, folks. If you haven’t figured it out yet, here is Trump’s game: Lie relentlessly. Everyone expends energy poi… https://t.co/HudiFFRctO"
nicohyuga,RT @elonmusk: The coronavirus panic is dumb
sashafromkim,RT @elonmusk: The coronavirus panic is dumb
muhamma39878584,Latest updates on coronavirus disease (COVID-19) outbreak: https://t.co/m2gvC1ybF4
snapshutter,"Although the death toll is 15 and not 12, this is a really good article on privacy:

https://t.co/6cU8Nk0Y6m"
filipa_cristina,RT @elonmusk: The coronavirus panic is dumb
jsuth2000,RT @elonmusk: The coronavirus panic is dumb
Leel06Lee,QT RT @JanetLinda1: The AID's virus also came with some dreadful prejudice and judgement. Lets try and do better this time!! 💜 https://t.co/74…
DOOMEDIABRANDS,"RT @TimothyDooner: OUT NOW a new WHAT THE TRUCK?!? where we're talking about a coronavirus freight rebound, Baby Yoda delays, FMCSA vs ELDs…"
Kuu6,"QT RT @harikunzru: How many #coronavirus tests have been conducted in the US to date? Around 1895. For comparison, by last Monday the UK (pop…"
via_koqoo,FED quarantines U.S. dollars repatriated from Asia on #coronavirus caution. via @Reuters https://t.co/yOy8d73Qjb
Monotony_co,RT @elonmusk: The coronavirus panic is dumb
KRTpro_World,QT Donald Trump and his dodgy staff!
yagirlzuri5,QT RT @__madixon: ya’ll want to watch a disney movie that represents indigenous culture ACCURATELY and doesn’t misinform you or disrespect rea…
dev_discourse,"BRIEF-""Coronavirus Panic Is Dumb"", tweets Elon Musk https://t.co/sxWXOSyG6y"
hippiemama2002,RT @DrDenaGrayson: ⚠️Chinese doctors say autopsies of #coronavirus victims suggest that #COVID19 is “like a combination of #SARS and #AIDS…
